 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
6.0   92.0   7.83   46.94  5.543   -.193   3.8  1.0000  1.0000  2.3457  2  Poled Asym
6.0   91.0   7.90   46.43  5.542   -.097   3.8  1.0000  1.0000  2.3444  2  Poled Asym
6.0   90.0   7.97   45.92  5.539    .000   3.9  1.0000  1.0000  2.3428  2  Poled Asym
6.0   89.0   8.04   45.42  5.535    .097   3.9  1.0000  1.0000  2.3409  2  Poled Asym
6.0   88.0   8.10   44.93  5.530    .193   4.0  1.0000  1.0000  2.3385  2  Poled Asym
6.0   87.0   8.17   44.44  5.523    .289   4.1  1.0000  1.0000  2.3355  2  Poled Asym
6.0   86.0   8.23   43.97  5.514    .385   4.1  1.0000  1.0000  2.3317  2  Poled Asym
6.0   85.0   8.29   43.50  5.503    .480   4.2  1.0000  1.0000  2.3270  2  Poled Asym
6.0   84.0   8.34   43.04  5.490    .574   4.2  1.0000  1.0000  2.3214  2  Poled Asym
6.0   83.0   8.40   42.59  5.474    .667   4.3  1.0000  1.0000  2.3146  2  Poled Asym
6.0   82.0   8.45   42.15  5.457    .760   4.3  1.0000  1.0000  2.3067  2  Poled Asym
6.0   81.0   8.50   41.71  5.437    .851   4.4  1.0000  1.0000  2.2975  2  Poled Asym
6.0   80.0   8.54   41.28  5.415    .940   4.4  1.0000  1.0000  2.2871  2  Poled Asym
6.0   79.0   8.59   40.87  5.391   1.029   4.4  1.0000  1.0000  2.2753  2  Poled Asym
6.0   78.0   8.63   40.46  5.364   1.115   4.5  1.0000  1.0000  2.2621  2  Poled Asym
6.0   77.0   8.66   40.05  5.334   1.200   4.5  1.0000  1.0000  2.2476  2  Poled Asym
6.0   76.0   8.70   39.66  5.303   1.283   4.5  1.0000  1.0000  2.2316  2  Poled Asym
6.0   75.0   8.73   39.27  5.268   1.364   4.5  1.0000  1.0000  2.2143  2  Poled Asym
6.0   74.0   8.76   38.88  5.232   1.442   4.5  1.0000  1.0000  2.1959  2  Poled Asym
6.0   73.0   8.79   38.51  5.194   1.519   4.5  1.0000  1.0000  2.1765  2  Poled Asym
6.0   72.0   8.81   38.13  5.154   1.593   4.5  1.0000  1.0000  2.1562  2  Poled Asym
6.0   71.0   8.84   37.75  5.112   1.664   4.4  1.0000  1.0000  2.1351  2  Poled Asym
6.0   70.0   8.86   37.38  5.070   1.734   4.4  1.0000  1.0000  2.1133  2  Poled Asym
6.0   69.0   8.88   37.00  5.026   1.801   4.4  1.0000  1.0000  2.0908  2  Poled Asym
6.0   68.0   8.89   36.63  4.982   1.866   4.3  1.0000  1.0000  2.0677  2  Poled Asym
6.0   67.0   8.91   36.25  4.937   1.929   4.3  1.0000  1.0000  2.0443  2  Poled Asym
6.0   66.0   8.92   35.87  4.891   1.989   4.3  1.0000  1.0000  2.0206  2  Poled Asym
6.0   65.0   8.93   35.49  4.844   2.047   4.2  1.0000  1.0000  1.9968  2  Poled Asym
6.0   64.0   8.94   35.11  4.796   2.102   4.2  1.0000  1.0000  1.9731  2  Poled Asym
6.0   63.0   8.95   34.73  4.746   2.155   4.2  1.0000  1.0000  1.9498  2  Poled Asym
6.0   62.0   8.95   34.36  4.694   2.204   4.1  1.0000  1.0000  1.9269  2  Poled Asym
6.0   61.0   8.96   33.98  4.640   2.250   4.1  1.0000  1.0000  1.9048  2  Poled Asym
6.0   60.0   8.95   33.62  4.583   2.291   4.0  1.0000  1.0000  1.8836  2  Poled Asym
6.0  148.4   3.30  114.39  3.519  -2.996    .5  1.0000  1.0000  1.3918  2  OPTDN Poled Asym
6.0  180.0   2.95  180.00  2.635  -2.635    .1  1.0000  1.0000  -.1000  4  Jib
6.0  179.0   2.94  178.10  2.647  -2.647    .1  1.0000  1.0000  -.0808  2  Jib
6.0  178.0   2.93  176.18  2.659  -2.658    .1  1.0000  1.0000  -.0611  3  Jib
6.0  177.0   2.92  174.25  2.672  -2.668    .1  1.0000  1.0000  -.0409  3  Jib
6.0  176.0   2.91  172.31  2.684  -2.678    .1  1.0000  1.0000  -.0201  3  Jib
6.0  175.0   2.91  170.36  2.697  -2.687    .1  1.0000  1.0000   .0013  3  Jib
